requirement,method,reported_n_images,available_images,pass_rate,precondition_match,valid_failures,valid_failures_per_1000,relative_to_per_requirement_lora
M1,alldata,1000,1000,0.982000,0.028000,0.504,0.504,0.473
M1,allreq,1000,1000,0.974000,0.523000,13.598,13.598,12.770
M1,lr,10000,100,0.998900,0.968000,10.648,1.065,1.000
M2,alldata,1000,1000,0.982000,0.004000,0.072,0.072,0.003
M2,allreq,1000,1000,0.979000,0.112000,2.352,2.352,0.087
M2,lr,10000,100,0.972400,0.980000,270.480,27.048,1.000
M3,alldata,1000,1000,0.996000,0.074000,0.296,0.296,0.001
M3,allreq,1000,1000,0.932000,0.275000,18.700,18.700,0.064
M3,lr,10000,100,0.694100,0.958000,2930.522,293.052,1.000
M4,alldata,1000,1000,0.966000,0.127000,4.318,4.318,0.370
M4,allreq,1000,1000,0.945000,0.564000,31.020,31.020,2.662
M4,lr,10000,100,0.987400,0.925000,116.550,11.655,1.000
M5,alldata,1000,1000,0.992000,0.005000,0.040,0.040,0.016
M5,allreq,1000,1000,0.940000,0.229000,13.740,13.740,5.452
M5,lr,10000,100,0.997200,0.900000,25.200,2.520,1.000
M6,alldata,1000,1000,0.990000,0.029000,0.290,0.290,0.013
M6,allreq,1000,1000,0.836000,0.299000,49.036,49.036,2.257
M6,lr,10000,100,0.977300,0.957000,217.239,21.724,1.000
